SignalType,Xsections,N_orig,Group,CustomJson,EOSDirectory
SingleMu__Run2012A,1,1,SingleMuData,Cert_190456-208686_8TeV_22Jan2013ReReco_Collisions12_JSON.txt,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-13-DATA-2012A_22JanReReco_SingleMu_Runs_190456-191455_20131014_152337/
SingleMu__Run2012A,1,1,SingleMuData,Cert_190456-208686_8TeV_22Jan2013ReReco_Collisions12_JSON.txt,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-13-DATA-2012A_22JanReReco_SingleMu_Runs_191456-192455_20131014_152459/
SingleMu__Run2012A,1,1,SingleMuData,Cert_190456-208686_8TeV_22Jan2013ReReco_Collisions12_JSON.txt,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-13-DATA-2012A_22JanReReco_SingleMu_Runs_192456-193455_20131014_152541/
SingleMu__Run2012A,1,1,SingleMuData,Cert_190456-208686_8TeV_22Jan2013ReReco_Collisions12_JSON.txt,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-13-DATA-2012A_22JanReReco_SingleMu_Runs_193456-193621_20131014_152622/
SingleMu__Run2012B,1,1,SingleMuData,Cert_190456-208686_8TeV_22Jan2013ReReco_Collisions12_JSON.txt,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-13-DATA-2012B_22JanReReco_SingleMu_Runs_193833-194832_20131015_200552/
SingleMu__Run2012B,1,1,SingleMuData,Cert_190456-208686_8TeV_22Jan2013ReReco_Collisions12_JSON.txt,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-13-DATA-2012B_22JanReReco_SingleMu_Runs_194833-195832_20131015_200739/
SingleMu__Run2012B,1,1,SingleMuData,Cert_190456-208686_8TeV_22Jan2013ReReco_Collisions12_JSON.txt,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-13-DATA-2012B_22JanReReco_SingleMu_Runs_195833-196531_20131015_200848/
SingleMu__Run2012C,1,1,SingleMuData,Cert_190456-208686_8TeV_22Jan2013ReReco_Collisions12_JSON.txt,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-13-DATA-2012C_22JanReReco_SingleMu_Runs_198022-199021_20131016_041911/
SingleMu__Run2012C,1,1,SingleMuData,Cert_190456-208686_8TeV_22Jan2013ReReco_Collisions12_JSON.txt,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-13-DATA-2012C_22JanReReco_SingleMu_Runs_199022-200021_20131016_042047/
SingleMu__Run2012C,1,1,SingleMuData,Cert_190456-208686_8TeV_22Jan2013ReReco_Collisions12_JSON.txt,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-13-DATA-2012C_22JanReReco_SingleMu_Runs_200022-201021_20131016_042158/
SingleMu__Run2012C,1,1,SingleMuData,Cert_190456-208686_8TeV_22Jan2013ReReco_Collisions12_JSON.txt,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-13-DATA-2012C_22JanReReco_SingleMu_Runs_201022-202021_20131016_042307/
SingleMu__Run2012C,1,1,SingleMuData,Cert_190456-208686_8TeV_22Jan2013ReReco_Collisions12_JSON.txt,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-13-DATA-2012C_22JanReReco_SingleMu_Runs_202022-203021_20131016_042415/
SingleMu__Run2012C,1,1,SingleMuData,Cert_190456-208686_8TeV_22Jan2013ReReco_Collisions12_JSON.txt,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-13-DATA-2012C_22JanReReco_SingleMu_Runs_203022-203742_20131016_042534/
SingleMu__Run2012D,1,1,SingleMuData,Cert_190456-208686_8TeV_22Jan2013ReReco_Collisions12_JSON.txt,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-13-DATA-2012D_22JanReReco_SingleMu_Runs_203777-204776_20131016_165457/
SingleMu__Run2012D,1,1,SingleMuData,Cert_190456-208686_8TeV_22Jan2013ReReco_Collisions12_JSON.txt,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-13-DATA-2012D_22JanReReco_SingleMu_Runs_204777-205776_20131016_165653/
SingleMu__Run2012D,1,1,SingleMuData,Cert_190456-208686_8TeV_22Jan2013ReReco_Collisions12_JSON.txt,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-13-DATA-2012D_22JanReReco_SingleMu_Runs_205777-206776_20131016_170046/
