SignalType,Xsections,N_orig,Group,CustomJson,EOSDirectory
QCD_Pt-15to20_MuEnrichedPt,2738580,1722681,QCDMu,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-09-Summer12MC_QCD_MuEnriched_PYTHIA_20121013_035449/
QCD_Pt-20to30_MuEnrichedPt,1865500,8486904,QCDMu,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-09-Summer12MC_QCD_MuEnriched_PYTHIA_20121013_035449/
QCD_Pt-30to50_MuEnrichedPt,806298,9560265,QCDMu,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-09-Summer12MC_QCD_MuEnriched_PYTHIA_20121013_035449/
QCD_Pt-50to80_MuEnrichedPt,176188,10365230,QCDMu,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-09-Summer12MC_QCD_MuEnriched_PYTHIA_20121013_035449/
QCD_Pt-80to120_MuEnrichedPt,40448,9238642,QCDMu,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-09-Summer12MC_QCD_MuEnriched_PYTHIA_20121013_035449/
QCD_Pt-120to170_MuEnrichedPt,7463.94,8501935,QCDMu,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-09-Summer12MC_QCD_MuEnriched_PYTHIA_20121012_025436/
QCD_Pt-170to300_MuEnrichedPt,2299.75,7669947,QCDMu,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-09-Summer12MC_QCD_MuEnriched_PYTHIA_20121013_035449/
QCD_Pt-300to470_MuEnrichedPt,151.805,7832261,QCDMu,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-09-Summer12MC_QCD_MuEnriched_PYTHIA_20121013_035449/
QCD_Pt-470to600_MuEnrichedPt,11.7965,3783069,QCDMu,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-09-Summer12MC_QCD_MuEnriched_PYTHIA_20121013_035449/
QCD_Pt-600to800_MuEnrichedPt,2.6902,4119000,QCDMu,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-09-Summer12MC_QCD_MuEnriched_PYTHIA_20121013_035449/
QCD_Pt-800to1000_MuEnrichedPt,0.368781,4107853,QCDMu,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-09-Summer12MC_QCD_MuEnriched_PYTHIA_20121013_035449/
QCD_Pt-1000_MuEnrichedPt,0.0849078,3873970,QCDMu,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-09-Summer12MC_QCD_MuEnriched_PYTHIA_20121013_035449/
SingleMu__Run2012A-13Jul2012,1,1,SingleMuData,json2012AJul13_skim.json,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-09-DATA-2012A_ReReco_13Jul2012_SingleMu_20121011_145909/
SingleMu__Run2012A-recover-06Aug2012,1,1,SingleMuData,json2012AAug06Recover_skim.json,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-09-DATA-2012A_ReReco_06Aug2012_SingleMu_20121011_145152/
SingleMu__Run2012B-13Jul2012,1,1,SingleMuData,json2012B13Jul_skim.json,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-08-DATA-2012B_ReReco_13Jul2012_SingleMu_20121224_224214/
SingleMu__Run2012C-24Aug2012,1,1,SingleMuData,json2012CReReco_skim.json,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-09-DATA-2012C_ReReco_24Aug2012_SingleMu_20121016_142434/
SingleMu__Run2012C-PromptReco-v2,1,1,SingleMuData,json2012CPrompt_skim.json,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-08-DATA-2012C_PromptReco_v2_SingleMu_20121230_021225/
SingleMu__Run2012C-EcalRecover_11Dec2012-v1,1,1,SingleMuData,json2012CEcalReReco_skim.json,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-08-DATA-2012C_ReReco11Dec2012_v1_SingleMu_20130107_042422/
