SignalType,Xsections,N_orig,Group,CustomJson,EOSDirectory
SingleMu__Run2012A-13Jul2012,1,1,SingleMuData,json2012AJul13_skim.json,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-11-DATA-2012A_ReReco_13Jul2012_SingleMu_20130221_133851/
SingleMu__Run2012A-recover-06Aug2012,1,1,SingleMuData,json2012AAug06Recover_skim.json,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-11-DATA-2012A_ReReco_06Aug2012_SingleMu_20130218_131919/
SingleMu__Run2012B-13Jul2012,1,1,SingleMuData,json2012B13Jul_skim.json,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-11-DATA-2012B_ReReco_13Jul2012_SingleMu_run193833-194832_20130220_154954/
SingleMu__Run2012B-13Jul2012,1,1,SingleMuData,json2012B13Jul_skim.json,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-11-DATA-2012B_ReReco_13Jul2012_SingleMu_run194833-195832_20130220_155410/
SingleMu__Run2012B-13Jul2012,1,1,SingleMuData,json2012B13Jul_skim.json,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-11-DATA-2012B_ReReco_13Jul2012_SingleMu_run195833-196531_20130220_155610/
SingleMu__Run2012C-24Aug2012,1,1,SingleMuData,json2012CReReco_skim.json,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-11-DATA-2012C_ReReco_24Aug2012_SingleMu_20130220_162225/
SingleMu__Run2012C-EcalRecover_11Dec2012-v1,1,1,SingleMuData,json2012CEcalReReco_skim.json,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-11-DATA-2012C_ReReco_11Dec2012_SingleMu_20130218_213228/
SingleMu__Run2012C-PromptReco-v2,1,1,SingleMuData,json2012CPrompt_skim.json,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-11-DATA-2012C_PromptReco_v2_SingleMu_run198934-199933_20130220_155957/
SingleMu__Run2012C-PromptReco-v2,1,1,SingleMuData,json2012CPrompt_skim.json,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-11-DATA-2012C_PromptReco_v2_SingleMu_run199934-200933_20130220_160254/
SingleMu__Run2012C-PromptReco-v2,1,1,SingleMuData,json2012CPrompt_skim.json,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-11-DATA-2012C_PromptReco_v2_SingleMu_run200934-201933_20130220_160426/
SingleMu__Run2012C-PromptReco-v2,1,1,SingleMuData,json2012CPrompt_skim.json,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-11-DATA-2012C_PromptReco_v2_SingleMu_run201934-202933_20130220_160555/
SingleMu__Run2012C-PromptReco-v2,1,1,SingleMuData,json2012CPrompt_skim.json,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-11-DATA-2012C_PromptReco_v2_SingleMu_run202934-203746_20130220_160820/
SingleMu__Run2012D-PromptReco-v1,1,1,SingleMuData,json2012DPrompt_skim.json,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-11-DATA-2012D_PromptReco_v1_SingleMu_run203768-204767_20130220_172415/
SingleMu__Run2012D-PromptReco-v1,1,1,SingleMuData,json2012DPrompt_skim.json,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-11-DATA-2012D_PromptReco_v1_SingleMu_run204768-205767_20130220_172748/
SingleMu__Run2012D-PromptReco-v1,1,1,SingleMuData,json2012DPrompt_skim.json,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-11-DATA-2012D_PromptReco_v1_SingleMu_run205768-206767_20130220_173216/
SingleMu__Run2012D-PromptReco-v1,1,1,SingleMuData,json2012DPrompt_skim.json,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-11-DATA-2012D_PromptReco_v1_SingleMu_run206768-207767_20130220_173538/
