SignalType,Xsections,N_orig,Group,CustomJson,EOSDirectory
LQToCMu_BetaHalf_vector_AM-MLQ0200LG0p03KG0p98_8TeV_calchep34,102.3,19998,AMuvjj200,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-18-Summer12MC_LQ_Vector_LegacyNTupleVersion_20140809_202040/
LQToCMu_BetaHalf_vector_AM-MLQ0300LG0p05KG1p07_8TeV_calchep34,9.075,19398,AMuvjj300,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-18-Summer12MC_LQ_Vector_LegacyNTupleVersion_20140807_210908/
LQToCMu_BetaHalf_vector_AM-MLQ0400LG0p09KG1p13_8TeV_calchep34,1.37,19996,AMuvjj400,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-18-Summer12MC_LQ_Vector_LegacyNTupleVersion_20140807_210908/
LQToCMu_BetaHalf_vector_AM-MLQ0500LG0p11KG1p18_8TeV_calchep34,0.2761,19099,AMuvjj500,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-18-Summer12MC_LQ_Vector_LegacyNTupleVersion_20140807_210908/
LQToCMu_BetaHalf_vector_AM-MLQ0600LG0p13KG1p23_8TeV_calchep34,0.06865,19997,AMuvjj600,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-18-Summer12MC_LQ_Vector_LegacyNTupleVersion_20140807_210908/
LQToCMu_BetaHalf_vector_AM-MLQ0700LG0p17KG1p27_8TeV_calchep34,0.019205,19896,AMuvjj700,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-18-Summer12MC_LQ_Vector_LegacyNTupleVersion_20140807_210908/
LQToCMu_BetaHalf_vector_AM-MLQ0800LG0p19KG1p3_8TeV_calchep34,0.005835,19997,AMuvjj800,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-18-Summer12MC_LQ_Vector_LegacyNTupleVersion_20140807_210908/
LQToCMu_BetaHalf_vector_AM-MLQ0900LG0p21KG1p32_8TeV_calchep34,0.001916,19898,AMuvjj900,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-18-Summer12MC_LQ_Vector_LegacyNTupleVersion_20140807_210908/
LQToCMu_BetaHalf_vector_AM-MLQ1000LG0p23KG1p33_8TeV_calchep34,0.000682,19999,AMuvjj1000,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-18-Summer12MC_LQ_Vector_LegacyNTupleVersion_20140807_210908/
LQToCMu_BetaHalf_vector_AM-MLQ1100LG0p25KG1p36_8TeV_calchep34,0.00024415,19898,AMuvjj1100,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-18-Summer12MC_LQ_Vector_LegacyNTupleVersion_20140807_210908/
