SignalType,Xsections,N_orig,Group,CustomJson,EOSDirectory
####DY
DYJetsToLL_M-10to50_,18610,77333042,ZJets_M10to50,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/dmorse/v2-3-8/
DYJetsToLL_M-50_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8,5765.4,81781064,ZJetsIncAmcNlo,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/dmorse/v2-3-8/
####W
WJetsToLNu_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8,61526.7,16497028,WJetsIncAmcNlo,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/dmorse/v2-3-8/
#######Diboson
WZTo1L1Nu2Q,10.71,14057875,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/dmorse/v2-3-8/
WWTo1L1Nu2Q,49.997,3223676,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/dmorse/v2-3-8/
WZTo3LNu,4.42965,7361436,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/dmorse/v2-3-8/
WZTo2L2Q,5.595,15879472,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/dmorse/v2-3-8/
WZTo2Q2Nu,6.324,10290677,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/dmorse/v2-3-8/
WWTo4Q,51.723,18974466,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/dmorse/v2-3-8/
WZTo1L3Nu,3.033,942046,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/dmorse/v2-3-8/
ZZTo2Q2Nu,4.04,18470622,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/dmorse/v2-3-8/
ZZTo4L,1.212,11300087,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/dmorse/v2-3-8/
ZZTo2L2Q,3.22,9688612,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/dmorse/v2-3-8/
ZZTo4Q,6.896587,18841521,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/dmorse/v2-3-8/
VVTo2L2Nu,11.95,5913675,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/dmorse/v2-3-8/
####QCD
QCD_Pt-15to20_MuEnrichedPt5_,3.627e+06,4026908,QCDMu,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/dmorse/v2-3-8/
QCD_Pt-20to30_MuEnrichedPt5_,3.140e+06,30999508,QCDMu,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/dmorse/v2-3-8/
