SignalType,Xsections,N_orig,Group,CustomJson,EOSDirectory
#DY+jets
DYJetsToLL_M-10to50,18610,77333042,ZJetsM10-50,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/scooper/
DYJetsToLL_Zpt-0To50_,5352.57924,22785357,ZJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/scooper/
DYJetsToLL_Pt-50To100_,363.81428,47590627,ZJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/scooper/
DYJetsToLL_Pt-100To250_,84.014804,29846562,ZJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/scooper/
DYJetsToLL_Pt-250To400_,3.22826,7783885,ZJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/scooper/
DYJetsToLL_Pt-400To650_,0.436041,628078,ZJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/scooper/
DYJetsToLL_Pt-650ToInf_,0.040981,668552,ZJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/scooper/
#Single Top
ST_s-channel_4f,10.32,1884837,SingleTop,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/scooper/
ST_t-channel_top_4f_inclusiveDecays_13TeV-powhegV2-madspin-pythia8_TuneCUETP8M1,136.02,67240808,SingleTop,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/scooper/
ST_t-channel_antitop_4f_inclusiveDecays_13TeV-powhegV2-madspin-pythia8_TuneCUETP8M1,80.95,38811017,SingleTop,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/scooper/
ST_tW_top_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1,35.85,6952830,SingleTop,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/scooper/
ST_tW_antitop_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1,35.85,6933094,SingleTop,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/scooper/
#DiBoson
WZTo1L1Nu2Q,10.71,14057875,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/scooper/
WWTo1L1Nu2Q,49.997,3223676,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/scooper/
WZTo3LNu,4.42965,7361436,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/scooper/
WZTo2L2Q,5.595,15879472,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/scooper/
WZTo2Q2Nu,6.324,10336719,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/scooper/
WWTo4Q,51.723,18974466,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/scooper/
WZTo1L3Nu,3.033,942046,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/scooper/
ZZTo2Q2Nu,4.04,18470622,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/scooper/
ZZTo4L,1.212,9385062,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/scooper/
ZZTo2L2Q,3.22,9688612,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/scooper/
ZZTo4Q,6.896587,18841521,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/scooper/
VVTo2L2Nu,11.95,5913675,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/scooper/
#WJets
WJetsToLNu_Wpt-0To50_,57297.3926,70633560,WJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/scooper/
WJetsToLNu_Wpt-50To100_,3298.3733,24874161,WJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/scooper/
WJetsToLNu_Pt-100To250_,689.7496,43329358,WJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/scooper/
WJetsToLNu_Pt-250To400_,24.5069,4395626,WJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/scooper/
WJetsToLNu_Pt-400To600_,3.110131,740953,WJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/scooper/
