SignalType,Xsections,N_orig,Group,CustomJson,EOSDirectory
#
##Data
DoubleMuon_Run2017B-Nano25Oct2019,1,1,DoubleMuData,Cert_294927-306462_13TeV_PromptReco_Collisions17_JSON.txt,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
DoubleMuon_Run2017C-Nano25Oct2019,1,1,DoubleMuData,Cert_294927-306462_13TeV_PromptReco_Collisions17_JSON.txt,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
DoubleMuon_Run2017D-Nano25Oct2019,1,1,DoubleMuData,Cert_294927-306462_13TeV_PromptReco_Collisions17_JSON.txt,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
DoubleMuon_Run2017E-Nano25Oct2019,1,1,DoubleMuData,Cert_294927-306462_13TeV_PromptReco_Collisions17_JSON.txt,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
DoubleMuon_Run2017F-Nano25Oct2019,1,1,DoubleMuData,Cert_294927-306462_13TeV_PromptReco_Collisions17_JSON.txt,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
#
DoubleEG_Run2017F-Nano25Oct2019-v1,1,1,DoubleEleData,Cert_294927-306462_13TeV_PromptReco_Collisions17_JSON.txt,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
DoubleEG_Run2017E-Nano25Oct2019-v1,1,1,DoubleEleData,Cert_294927-306462_13TeV_PromptReco_Collisions17_JSON.txt,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
DoubleEG_Run2017D-Nano25Oct2019-v1,1,1,DoubleEleData,Cert_294927-306462_13TeV_PromptReco_Collisions17_JSON.txt,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
DoubleEG_Run2017C-Nano25Oct2019-v1,1,1,DoubleEleData,Cert_294927-306462_13TeV_PromptReco_Collisions17_JSON.txt,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
DoubleEG_Run2017B-Nano25Oct2019-v1,1,1,DoubleEleData,Cert_294927-306462_13TeV_PromptReco_Collisions17_JSON.txt,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
#
##DiBoson
#
WWTo2L2Nu,12.178,0,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
WWToLNuQQ,49.997,0,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
WWTo4Q,51.723,2218545117,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
WWTo1L1Nu2Q,49.997,435302996,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
WZTo3LNu,4.42965,95674679,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
WZTo1L1Nu2Q,10.71,416648939,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
WZTo1L3Nu,3.033,9357734,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
WZTo2L2Q,5.595,230999496,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
WZTo2Q2Nu,6.324,177266744,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
ZZTo4L,1.212,19157744,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
ZZTo2Q2Nu,4.04,199160250,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
ZZTo2L2Q,3.22,76582093,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
ZZTo4Q,6.896587,336170460,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
VVTo2L2Nu,11.95,215945866,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
#
##TTBar
#
TTJets_,831.76,153277807,TTBar,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
TTToHadronic,377.96,0,TTBar_decayBinned,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
TTToSemiLeptonic,365.34,0,TTBar_decayBinned,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
TTTo2L2Nu,87.31,0,TTBar_decayBinned,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
#
##WJets
#
WJetsToLNu_0J,50279.20,5673615543808,WJetsJBin,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
WJetsToLNu_1J,8434.257,5768252564480,WJetsJBin,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
WJetsToLNu_2J,2813.243,3386071937408,WJetsJBin,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
#
##DY+jets
#
####### NEW SAMPLE ######## DY1JetsToLL_M-50_LHEZpT_50-150
####### NEW SAMPLE ######## DY1JetsToLL_M-50_LHEZpT_150-250
####### NEW SAMPLE ######## DY1JetsToLL_M-50_LHEZpT_250-400
####### NEW SAMPLE ######## DY1JetsToLL_M-50_LHEZpT_400-inf
####### NEW SAMPLE ######## DY2JetsToLL_M-50_LHEZpT_50-150
####### NEW SAMPLE ######## DY2JetsToLL_M-50_LHEZpT_50-150
####### NEW SAMPLE ######## DY2JetsToLL_M-50_LHEZpT_150-250
####### NEW SAMPLE ######## DY2JetsToLL_M-50_LHEZpT_150-250
####### NEW SAMPLE ######## DY2JetsToLL_M-50_LHEZpT_250-400
####### NEW SAMPLE ######## DY2JetsToLL_M-50_LHEZpT_400-inf
DYJetsToLL_M-10to50,18610,4096602235776,ZJetsM10-50,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
#
DYToLL_0J,4755.470,537184898624,ZJetsJBin,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
DYToLL_1J,886.4694,410121276560,ZJetsJBin,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
DYToLL_2J,339.6296,220368848640,ZJetsJBin,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
#
##QCD
#
QCD_Pt-15to20_MuEnrichedPt5_,3.627e+06,4141251,QCDMu,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
QCD_Pt-20to30_MuEnrichedPt5_,3.140e+06,31523829,QCDMu,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
QCD_Pt-30to50_MuEnrichedPt5_,1.652e+06,29920755,QCDMu,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
QCD_Pt-50to80_MuEnrichedPt5_,4.493e+05,19776676,QCDMu,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
QCD_Pt-80to120_MuEnrichedPt5_,1.052e+05,23515346,QCDMu,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
QCD_Pt-120to170_MuEnrichedPt5_,2.552e+04,19973629,QCDMu,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
QCD_Pt-170to300_MuEnrichedPt5_,8.619e+03,36933607,QCDMu,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
QCD_Pt-300to470_MuEnrichedPt5_,7.964e+02,49744802,QCDMu,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
QCD_Pt-470to600_MuEnrichedPt5_,7.916e+01,19362943,QCDMu,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
QCD_Pt-600to800_MuEnrichedPt5_,2.527e+01,20249691,QCDMu,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
QCD_Pt-800to1000_MuEnrichedPt5_,4.732e+00,19743366,QCDMu,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
QCD_Pt-1000toInf_MuEnrichedPt5_,1.621e+00,13548512,QCDMu,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
##QCDEle
QCD_Pt-20to30_EMEnriched_,5.552e+06,9573900,QCDEle,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
QCD_Pt-30to50_EMEnriched_,6.955e+06,11981619,QCDEle,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
QCD_Pt-50to80_EMEnriched_,2.206e+06,45779432,QCDEle,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
QCD_Pt-80to120_EMEnriched_,4.149e+05,77617046,QCDEle,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
QCD_Pt-120to170_EMEnriched_,7.579e+04,77771316,QCDEle,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
QCD_Pt-170to300_EMEnriched_,1.882e+04,11489348,QCDEle,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
QCD_Pt-300toInf_EMEnriched_,1.213e+03,7373633,QCDEle,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
#
##Single Top
#
ST_s-channel_4f,10.32,2989199,SingleTop,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
####### DONT HAVE THIS SAMPLE ######## ST_t-channel_top_4f_inclusiveDecays,136.02,66240296,SingleTop,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
ST_tW_top_5f_inclusiveDecays,35.85,6858830,SingleTop,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
ST_tW_antitop_5f_inclusiveDecays,35.85,6796610,SingleTop,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
####### DONT HAVE THIS SAMPLE ######## ST_t-channel_antitop_4f_inclusiveDecays,80.95,38626683,SingleTop,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
ST_t-channel_antitop_5f,71.74,0,SingleTop,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
ST_t-channel_top_5f,119.7,0,SingleTop,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
#
##SM Higgs
GluGluHToBB_M125,25.34,9827392,SMHiggs,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
GluGluHToZZTo4L_M125,0.01212,999800,SMHiggs,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
VBF_HToZZTo4L_M125,0.001034,500000,SMHiggs,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
####### DONT HAVE THIS SAMPLE ######## VBFHToBB_M125,2.1626,3296000,SMHiggs,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
WminusH_HToZZTo4L_M125,0.0001471,197730,SMHiggs,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
WplusH_HToZZTo4L_M125,0.0002339,297480,SMHiggs,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
ZH_HToBB_ZToLL_M125,0.173,10478315,SMHiggs,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
ZH_HToZZ_2LFilter,0.7534,942259,SMHiggs,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
ttHJetTobb_M125,0.2934,9826896,SMHiggs,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
ttHJetToNonbb_M125,0.2151,10129526,SMHiggs,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
GluGluZH_HToWW,0.8696,148525,SMHiggs,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
####### DONT HAVE THIS SAMPLE ######## ggZH_HToBB_ZToLL_M125,.006954,5515935,SMHiggs,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
####### DONT HAVE THIS SAMPLE ######## WH_HToBB_WToLNu_M125,0.173,3149195,SMHiggs,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
####### DONT HAVE THIS SAMPLE ######## VBFHToWWTo2L2Nu,3.748,486510,SMHiggs,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
####### DONT HAVE THIS SAMPLE ######## GluGluHToWWTo2L2Nu,43.92,499473,SMHiggs,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
#
#HH Signal
#
GluGluToRadionToHHTo2B2ZTo2L2J_M-250_narrow,0.001,299197,HHres250,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
GluGluToRadionToHHTo2B2ZTo2L2J_M-260_narrow,0.001,299197,HHres260,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
GluGluToRadionToHHTo2B2ZTo2L2J_M-270_narrow,0.001,299992,HHres270,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
GluGluToRadionToHHTo2B2ZTo2L2J_M-280_narrow,0.001,299992,HHres280,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
GluGluToRadionToHHTo2B2ZTo2L2J_M-300_narrow,0.001,299988,HHres300,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
GluGluToRadionToHHTo2B2ZTo2L2J_M-320_narrow,0.001,299352,HHres320,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
GluGluToRadionToHHTo2B2ZTo2L2J_M-350_narrow,0.001,299352,HHres350,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
GluGluToRadionToHHTo2B2ZTo2L2J_M-400_narrow,0.001,370296,HHres400,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
GluGluToRadionToHHTo2B2ZTo2L2J_M-450_narrow,0.001,299991,HHres450,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
GluGluToRadionToHHTo2B2ZTo2L2J_M-500_narrow,0.001,299481,HHres500,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
GluGluToRadionToHHTo2B2ZTo2L2J_M-550_narrow,0.001,299998,HHres550,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
GluGluToRadionToHHTo2B2ZTo2L2J_M-600_narrow,0.001,297473,HHres600,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
GluGluToRadionToHHTo2B2ZTo2L2J_M-650_narrow,0.001,299988,HHres650,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
GluGluToRadionToHHTo2B2ZTo2L2J_M-700_narrow,0.001,299992,HHres700,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
GluGluToRadionToHHTo2B2ZTo2L2J_M-750_narrow,0.001,299992,HHres750,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
GluGluToRadionToHHTo2B2ZTo2L2J_M-800_narrow,0.001,299996,HHres800,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/04March2020/vinguyen
