SignalType,Xsections,N_orig,Group,CustomJson,EOSDirectory
#
#SingleMuon Data
#
Run2017B-Nano25Oct2019,1,1,SingleMuData,Cert_294927-306462_13TeV_EOY2017ReReco_Collisions17_JSON.txt,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/SingleMuon/
Run2017C-Nano25Oct2019,1,1,SingleMuData,Cert_294927-306462_13TeV_EOY2017ReReco_Collisions17_JSON.txt,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/SingleMuon/
Run2017D-Nano25Oct2019,1,1,SingleMuData,Cert_294927-306462_13TeV_EOY2017ReReco_Collisions17_JSON.txt,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/SingleMuon/
Run2017E-Nano25Oct2019,1,1,SingleMuData,Cert_294927-306462_13TeV_EOY2017ReReco_Collisions17_JSON.txt,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/SingleMuon/
Run2017F-Nano25Oct2019,1,1,SingleMuData,Cert_294927-306462_13TeV_EOY2017ReReco_Collisions17_JSON.txt,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/SingleMuon/
#
#DY+jets
#
DYJetsToLL_M-10to50,18610,39821167,ZJetsM10-50,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
#DYJetsToLL_Zpt-0To50,5352.57924,571611377888,ZJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/ # Not on DAS
DYJetsToLL_Pt-50To100,363.81428,119259750736,ZJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
DYJetsToLL_Pt-100To250,84.014804,15432503518,ZJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
DYJetsToLL_Pt-250To400,3.22826,172400452,ZJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
DYJetsToLL_Pt-400To650,0.436041,2057114,ZJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
DYJetsToLL_Pt-650ToInf,0.040981,197651,ZJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
#
#TTBar
#
TTTo2L2Nu_TuneCP5_PSweights_13TeV-powheg-pythia8,87.31,4922923861,TTBar_decayBinned,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8,377.96,40875369224,TTBar_decayBinned,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
TTToSemiLeptonic_TuneCP5_PSweights_13TeV-powheg-pythia8,365.34,33025258298,TTBar_decayBinned,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
#
#Single Top
#
ST_s-channel_4f,10.32,182351086,SingleTop,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
ST_t-channel_top_5f,136.02,706283791,SingleTop,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
ST_t-channel_antitop_5f,80.95,274098637,SingleTop,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
ST_tW_top_5f_inclusiveDecays,35.85,270609009,SingleTop,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
ST_tW_antitop_5f_inclusiveDecays,35.85,270762747,SingleTop,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
#
#W+Jets
#
#WJetsToLNu_Wpt-0To50_,57297.39264,0,WJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/ # Not on DAS
WJetsToLNu_Pt-50To100_,3298.3733,149029018960,WJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
WJetsToLNu_Pt-100To250_,689.7496,168522297600,WJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
WJetsToLNu_Pt-250To400_,24.5069,572581952,WJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
WJetsToLNu_Pt-400To600_,3.110131,15077347,WJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
WJetsToLNu_Pt-600ToInf_,0.468318,2300753,WJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
#
#DiBoson
#
WWTo2L2Nu,12.178,22148697,DiBoson_Powheg,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
WWTo1L1Nu2Q,49.997,745255456,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
WWTo4Q,51.723,94291548,DiBoson_Powheg,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
WZTo3LNu,4.42965,94563223,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
WZTo1L3Nu,3.033,29030866,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
WZTo2L2Q,5.595,269158730,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
WZTo1L1Nu2Q,10.71,352334879,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
#WZTo2Q2Nu,6.324,0,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/ # Not on DAS
ZZTo4L,1.212,54935698,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
ZZTo2L2Q,3.22,156973438,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
ZZTo2Q2Nu,4.04,443133932,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
#ZZTo4Q,6.896587,0,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/ # Not on DAS
VVTo2L2Nu,11.95,251904811,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
#
# LQ Signal
#
LQToBMu_M-300_pair,8.402,49948,LQuujj300,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
LQToBMu_M-400_pair,1.813,49939,LQuujj400,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
LQToBMu_M-500_pair,.5010,49130,LQuujj500,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
LQToBMu_M-600_pair,.1706,49926,LQuujj600,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
LQToBMu_M-700_pair,.06449,49921,LQuujj700,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
LQToBMu_M-800_pair,.02680,49916,LQuujj800,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
LQToBMu_M-900_pair,.01190,49911,LQuujj900,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
LQToBMu_M-1000_pair,.005515,49908,LQuujj1000,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
LQToBMu_M-1100_pair,.002696,49309,LQuujj1100,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
LQToBMu_M-1200_pair,.001346,49904,LQuujj1200,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
LQToBMu_M-1300_pair,.0006991,49902,LQuujj1300,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
LQToBMu_M-1400_pair,.0003675,49895,LQuujj1400,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
LQToBMu_M-1500_pair,.0001964,49892,LQuujj1500,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
LQToBMu_M-1600_pair,.0001065,49888,LQuujj1600,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
LQToBMu_M-1700_pair,.00005903,49890,LQuujj1700,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
LQToBMu_M-1800_pair,.00003288,49884,LQuujj1800,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
LQToBMu_M-1900_pair,.00001828,49884,LQuujj1900,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
LQToBMu_M-2000_pair,.00001042,49879,LQuujj2000,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
LQToBMu_M-2100_pair,.000005865,49875,LQuujj2100,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
LQToBMu_M-2200_pair,.000003286,49875,LQuujj2200,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
LQToBMu_M-2300_pair,.000001861,49873,LQuujj2300,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
LQToBMu_M-2400_pair,.000001060,49875,LQuujj2400,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
LQToBMu_M-2500_pair,.0000006150,49872,LQuujj2500,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
LQToBMu_M-2600_pair,.0000003470,49864,LQuujj2600,0,/store/group/phys_exotica/leptonsPlusJets/LQ/stockNanoSkim/gmadigan/
